State,Quarter,Forecast,MAE,MPE
WEST VIRGINIA,2023-Q3,8874.554171685899,952.5168633754918,-13.174131425367003
WEST VIRGINIA,2023-Q4,7104.0586827420475,952.5168633754918,-13.174131425367003
WEST VIRGINIA,2024-Q1,6941.6580954565015,952.5168633754918,-13.174131425367003
WEST VIRGINIA,2024-Q2,7157.951349366265,952.5168633754918,-13.174131425367003
WISCONSIN,2023-Q3,66937.08439278821,11889.12443851998,-33.11338138988029
WISCONSIN,2023-Q4,62002.54591069944,11889.12443851998,-33.11338138988029
WISCONSIN,2024-Q1,45825.278403444165,11889.12443851998,-33.11338138988029
WISCONSIN,2024-Q2,63507.120078920125,11889.12443851998,-33.11338138988029
WYOMING,2023-Q3,34799.163537708024,4974.426627220558,-7.9090624418845135
WYOMING,2023-Q4,25601.613096736626,4974.426627220558,-7.9090624418845135
WYOMING,2024-Q1,8271.487475849415,4974.426627220558,-7.9090624418845135
WYOMING,2024-Q2,30438.161484127053,4974.426627220558,-7.9090624418845135
